Ipomopis_aggregata;Ipomopis;Polemoniaceae
Polemonium_viscosum;Polemonium;Polemoniaceae
Moussonia_deppeana;Moussonia;Gesneriaceae
Moussonia_deppeana;Moussonia;Gesneriaceae
Moussonia_deppeana;Moussonia;Gesneriaceae
Moussonia_deppeana;Moussonia;Gesneriaceae
Ipomea_hederifolia;Ipomea;Convolvulaceae
Hamelia_patens;Hamelia;Rubiaceae
Hamelia_patens;Hamelia;Rubiaceae
Impatiens_oxyanthera;Impatiens;Balsaminaceae
Impatiens_oxyanthera;Impatiens;Balsaminaceae
Aphelandra_sinclairiana;Aphelandra;Acanthaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Digitalis_purpurea;Digitalis;Plantaginaceae
Corydalis_caseana;Corydalis;Papaveraceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Aconitum_napellus;Aconitum;Ranunculaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Jacaranda_rugosa;Jacaranda;Bignoniaceae
Heliconia_spathocircinata;Heliconia;Heliconiaceae
Heliconia_spathocircinata;Heliconia;Heliconiaceae
Heliconia_spathocircinata;Heliconia;Heliconiaceae
Heliconia_spathocircinata;Heliconia;Heliconiaceae
Mertensia_paniculata;Mertensia;Boraginaceae
Mertensia_paniculata;Mertensia;Boraginaceae
Mertensia_paniculata;Mertensia;Boraginaceae
Mertensia_paniculata;Mertensia;Boraginaceae
Passiflora_mixta;Passiflora;Passifloraceae
Pyrostegia_venusta;Pyrostegia;Bignoniaceae
Pyrostegia_venusta;Pyrostegia;Bignoniaceae
Jacaranda_caroba;Jacaranda;Bignoniaceae
Chilopsis_linearis;Chilopsis;Bignoniaceae
Chilopsis_linearis;Chilopsis;Bignoniaceae
Chilopsis_linearis;Chilopsis;Bignoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Ipomopis_aggregata;Ipomopis;Polemoniaceae
Lonicera_etrusca;Lonicera;Caprifoliaceae
Lonicera_etrusca;Lonicera;Caprifoliaceae
Lonicera_etrusca;Lonicera;Caprifoliaceae
Rubus_idaeus;Rubus;Rosaceae
Tecoma_stans;Tecoma;Bignoniaceae
Tecoma_stans;Tecoma;Bignoniaceae
Tecoma_stans;Tecoma;Bignoniaceae
Tecoma_stans;Tecoma;Bignoniaceae
Tecomella_undulata;Tecomella;Bignoniaceae
Tecomella_undulata;Tecomella;Bignoniaceae
Tecomella_undulata;Tecomella;Bignoniaceae
Tecomella_undulata;Tecomella;Bignoniaceae
Jacaranda_rugosa;Jacaranda;Bignoniaceae
Codonopsis_lanceolata;Codonopsis;Campanulaceae
Codonopsis_lanceolata;Codonopsis;Campanulaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Impatiens_capensis;Impatiens;Balsaminaceae
Fuchsia_magellanica;Fuchsia;Onagraceae
Aconitum_lycoctonum;Aconitum;Ranunculaceae
Aconitum_lycoctonum;Aconitum;Ranunculaceae
Aconitum_lycoctonum;Aconitum;Ranunculaceae
Lapageria_rosea;Lapageria;Philesiaceae
Lapageria_rosea;Lapageria;Philesiaceae
Embothrium_coccineum;Embothrium;Proteaceae
