study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Caballeroetal_2013;25;Robbers;Non-Experimental;Obligatory;Tristerix_aphyllus;Tristerix_aphyllus;Tristerix;Loranthaceae;yes;insect-bird;visitation;20;1.11;0.13;20;1.24;0.12;-0.110751364;0.001154083
Caballeroetal_2013;26;Robbers;Non-Experimental;Obligatory;Tristerix_aphyllus;Tristerix_aphyllus;Tristerix;Loranthaceae;yes;insect-bird;nectar;20;3.43;0.34;20;3.73;0.39;-0.083847972;0.001037907
Caballeroetal_2013;27;Robbers;Non-Experimental;Obligatory;Tristerix_aphyllus;Tristerix_aphyllus;Tristerix;Loranthaceae;yes;insect-bird;visitation;20;15.4;3.43;20;16.74;23.53;-0.083433556;0.101268089
Carrio&Guemes2019;28;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;72.8;8.3;20;77.8;11.1;-0.066425476;0.001667712
Carrio&Guemes2019;29;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;62.8;7.8;20;63.3;8.9;-0.007930256;0.001759752
Carrio&Guemes2019;30;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;87.2;6.1;20;84.4;90;0.032636929;0.057099871
Carrio&Guemes2019;31;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;86.7;5.2;20;83.33;5;0.039645255;0.000359876
Carrio&Guemes2019;32;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;87;4.8;20;81.67;5;0.063221381;0.000339606
Carrio&Guemes2019;33;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;no;insect-insect;female;20;76.7;5.6;20;71.7;5;0.067410961;0.000509684
Castroetal_2008;34;Robbers;Non-Experimental;Obligatory;Polygala_vayredae;Polygala_vayredae;Polygala;Polygalaceae;no;insect-insect;female;200;7.86;1.1;200;8.23;1.42;-0.045999408;0.000246778
Castroetal_2008;35;Robbers;Non-Experimental;Obligatory;Polygala_vayredae;Polygala_vayredae;Polygala;Polygalaceae;no;insect-insect;nectar;20;71.5;23.41;95;70.2;19.99;0.018349139;0.006213498
Castroetal_2008;36;Robbers;Non-Experimental;Obligatory;Polygala_vayredae;Polygala_vayredae;Polygala;Polygalaceae;no;insect-insect;nectar;20;0.67;0.59;95;0.34;0.77;0.678332095;0.0927609
Colwell_1995;37;Thieves;Non-Experimental;Obligatory;Hamelia_patens;Hamelia_patens;Hamelia;Rubiaceae;yes;insect-bird;nectar;18;6.3;4.285067094;18;10.6;3.945655839;-0.520304368;0.033399267
Cruzetal_2007;38;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;nectar;27;14;12;21;28;27;-0.693147181;0.07148931
Cruzetal_2007;39;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;nectar;27;18;22;21;34;27;-0.635988767;0.085356591
Cruzetal_2007;40;Thieves;Non-Experimental;Obligatory;Heliconia_laneana;Heliconia_laneana;Heliconia;Heliconiaceae;no;insect-bird;nectar;18;43;17;8;61;18;-0.349673748;0.019567543
Cruzetal_2007;41;Thieves;Non-Experimental;Obligatory;Heliconia_laneana;Heliconia_laneana;Heliconia;Heliconiaceae;no;insect-bird;nectar;18;43;17;8;23;18;0.6257059;0.085242919
Cuevas-Garciaetal2013;42;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.75;0.537587202;10;1.28;0.790569415;-0.53454215;0.08952475
Cuevas-Garciaetal2013;43;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;62.5;31.71764493;10;91.6;11.7636729;-0.382264715;0.027403112
Cuevas-Garciaetal2013;44;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.25;0.09486833;10;0.34;0.18973666;-0.3074847;0.045541869
Cuevas-Garciaetal2013;46;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.03;0.006324555;10;0.04;0.003162278;-0.287682072;0.005069444
Cuevas-Garciaetal2013;45;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.03;0.009486833;10;0.04;0.006324555;-0.287682072;0.0125
Cuevas-Garciaetal2013;47;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.03;0.009486833;10;0.04;0.006324555;-0.287682072;0.0125
Cuevas-Garciaetal2013;48;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.33;0.09486833;10;0.43;0.18973666;-0.264692554;0.027734447
Cuevas-Garciaetal2013;49;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;1.34;0.411096096;10;1.67;0.790569415;-0.220154012;0.031822165
Cuevas-Garciaetal2013;50;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;0.35;0.158113883;10;0.43;0.221359436;-0.205852054;0.046908974
Cuevas-Garciaetal2013;51;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;NA;female;10;1.25;0.632455532;10;1.51;0.790569415;-0.1889661;0.053011078
Cuevas&Guerrero_2016;52;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;insect-bird;nectar;20;2.17;0.7;20;18.25;3.7;-2.129437912;0.007258083
Cuevas&Guerrero_2016;53;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;insect-bird;nectar;20;2.73;1.04;20;20.4;0.9;-2.011233292;0.007353554
Cuevas&Guerrero_2016;54;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;insect-bird;nectar;20;4.1;1.1;20;22.4;1.9;-1.698073985;0.003958782
Cuevas&Guerrero_2016;55;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;insect-bird;nectar;20;2.7;0.4;20;9.9;1.1;-1.299282984;0.001714678
Cuevas&Guerrero_2016;56;Robbers;Non-Experimental;NA;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;yes;insect-bird;visitation;7;0.21;0.04;7;0.07;0.06;1.098612289;0.058309038
Dedej&Delaplane_2005;57;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;nectar;20;0.07;0.134164079;25;0.5;0.5;-1.966112856;0.22367347
Dedej&Delaplane_2005;58;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;nectar;20;0.3;0.447213595;25;1.9;0.5;-1.84582669;0.113881194
Dedej&Delaplane_2005;59;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;female;37;10.3;4.257933771;38;18.6;8.013738204;-0.591017685;0.009503678
Dedej&Delaplane_2005;60;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;nectar;25;1.9;1;25;3.4;2.5;-0.581921545;0.03270663
Dedej&Delaplane_2005;61;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;female;64;10.6;5.6;63;17;7.937253933;-0.472359343;0.00782119
Dedej&Delaplane_2005;62;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;female;65;1.2;0.32249031;65;1.6;0.403112887;-0.287682072;0.002087674
Dedej&Delaplane_2005;63;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;nectar;25;25.5;5.5;25;28.9;6.5;-0.125163143;0.003884266
Dedej&Delaplane_2005;64;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;female;103;13.9;3.04466747;97;13.8;2.954657341;0.007220248;0.000938404
Dedej&Delaplane_2005;65;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;no;insect-insect;female;37;1.07;0.364965752;38;0.8;0.3082207;0.2908022;0.007050629
Dengetal_2015;66;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;visitation;60;1.33;2.633628675;60;3.06;6.274233021;-0.833235974;0.135420552
Dengetal_2015;259;Thieves;Non-Experimental;Obligatory;Alpinia_roxburghii;Alpinia_roxburghii;Alpinia;Zingiberaceae;yes;NA;male;8;0.14;0.05;8;0.27;0.03;-0.656779536;0.017487087
