study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Irwin&Brody1999;244;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;male;15;0.01;0.002581989;15;0.05;0.002581989;-1.609437912;0.004622223
Irwin&Brody1999;239;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;male;3;0.01;0.005773503;3;0.03;0.005773503;-1.098612289;0.123456803
Irwin&Brody1999;241;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;7;34.33;2.109041759;9;61.54;1.073333333;-0.583667762;0.000572968
Irwin&Brody1999;242;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;7;4.69;0.230558329;9;5.87;1.563333333;-0.224422051;0.008226294
Irwin&Brody1999;247;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;15;5.4;0.095533589;15;6.39;0.123935467;-0.168335315;4.59E-05
Irwin&Brody1999;245;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;15;58.93;0.815908492;15;69.11;1.179968926;-0.159349139;3.22E-05
Irwin&Brody1999;243;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;7;0.9;0.011338934;9;0.94;0.01;-0.043485112;3.53E-05
Irwin&Brody1999;248;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;15;0.99;0.012909944;15;0.94;0.010327956;0.051825068;1.94E-05
Irwin&Brody1999;240;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;3;72.99;2.759734287;3;66.28;2.055366958;0.096434253;0.000797074
Irwin&Brody1999;246;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;15;51.42;0.975991803;15;46.43;1.172222959;0.1020814;6.65E-05
Irwin&Brody2000;105;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;visitation;32;12.9;1.1;32;9.9;1.2;0.264692554;0.000686362
Irwin&Brody2000;106;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;32;121.3;15.4;32;62.8;7.9;0.658311742;0.000998219
Irwin&Brody2000;107;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;32;17.7;1.5;32;8.1;1.5;0.781700578;0.001296106
Irwinetal_2008;251;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;25;0.55;0.034;25;1.25;0.062;-0.820980552;0.000251266
Irwinetal_2008;252;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;15;0.6;0.061967734;15;0.96;0.077459667;-0.470003629;0.001145139
Irwinetal_2008;108;Robbers;Experimental;Obligatory;Polemonium_viscosum;Polemonium_viscosum;Polemonium;Polemoniaceae;no;insect-insect;nectar;15;50;15.8;14;40.41;13.3;0.212945726;0.014394511
Irwinetal2015;249;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;24;23.8;1.122682799;24;48.42;1.796292478;-0.710227371;0.000150059
Irwinetal2015;250;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;male;30;75.78;0.629880941;30;77.8;0.637183909;-0.026307026;4.54E-06
Kaczorowskietal_2014;253;Robbers;Non-Experimental;Facultative;Nicotiana_glauca;Nicotiana_glauca;Nicotiana;Solanaceae;yes;bird-bird;nectar;12;0.008;0.00057735;12;0.005;0.000288675;0.470003629;0.000711805
Kaczorowskietal_2014;254;Robbers;Non-Experimental;Facultative;Nicotiana_glauca;Nicotiana_glauca;Nicotiana;Solanaceae;yes;bird-bird;nectar;12;0.007;0.000866025;12;0.001;8.66E-05;1.945910149;0.001900508
Lara&Ornelas_2001;109;Thieves;Experimental;Experimental;Moussonia_deppeana;Moussonia_deppeana;Moussonia;Gesneriaceae;yes;insect-bird;nectar;20;1.3;0.08;20;2.5;0.2;-0.653926467;0.000509349
Lara&Ornelas_2001;110;Thieves;Experimental;Experimental;Moussonia_deppeana;Moussonia_deppeana;Moussonia;Gesneriaceae;yes;insect-bird;nectar;20;0.91;0.07;20;1.73;0.07;-0.642432088;0.000377718
Lara&Ornelas_2001;111;Thieves;Experimental;Experimental;Moussonia_deppeana;Moussonia_deppeana;Moussonia;Gesneriaceae;yes;insect-bird;nectar;20;0.87;0.04;20;1.55;0.07;-0.577516998;0.000207671
Lara&Ornelas_2001;112;Thieves;Experimental;Experimental;Moussonia_deppeana;Moussonia_deppeana;Moussonia;Gesneriaceae;yes;insect-bird;visitation;10;5.2;0.38;10;6.5;0.72;-0.223143551;0.001761006
Lara&Ornelas_2001;113;Robbers;Experimental;Experimental;Ipomea_hederifolia;Ipomea_hederifolia;Ipomea;Convolvulaceae;no;bird-bird;female;30;0.52;0.06;30;0.59;0.02;-0.126293725;0.00048209
Lasso&Naranjo_2003;114;Robbers;Experimental;Experimental;Hamelia_patens;Hamelia_patens;Hamelia;Rubiaceae;yes;bird-bird;female;18;4367.3;387.7;14;5510;510.2;-0.232419654;0.001050238
Lasso&Naranjo_2003;115;Robbers;Experimental;Experimental;Hamelia_patens;Hamelia_patens;Hamelia;Rubiaceae;yes;bird-bird;nectar;19;36.5;1.9;19;33.4;6.4;0.088756361;0.002075089
Lietal_2021;116;Thieves;Experimental;Experimental;Impatiens_oxyanthera;Impatiens_oxyanthera;Impatiens;Balsaminaceae;no;NA;visitation;20;0.09;0.089442719;20;0.4;0.178885438;-1.491654877;0.059382716
Lietal_2021;117;Thieves;Experimental;Experimental;Impatiens_oxyanthera;Impatiens_oxyanthera;Impatiens;Balsaminaceae;no;NA;visitation;20;3.63;0.849705831;20;5.92;2.593838854;-0.489103801;0.012338346
MacDade&Weeks2004;118;Robbers;Experimental;Experimental;Aphelandra_sinclairiana;Aphelandra_sinclairiana;Aphelandra;Acanthaceae;no;NA;female;174;3;1.83;183;2.9;1.7;0.033901552;0.004016312
Mackinetal_2021;119;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;female;72;510.7;71.18;87;823.6;49.98;-0.477902642;0.000312135
Mackinetal_2021;120;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;visitation;120;6.6;5.3;210;10.3;9.5;-0.445074246;0.009424732
Mackinetal_2021;121;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;visitation;1288;0.7;1.7;1288;1;2;-0.356674944;0.007684751
Mackinetal_2021;122;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;male;50;149.17;72.74;43;178.33;57.9;-0.178549171;0.007207236
Mackinetal_2021;123;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;visitation;1288;0.7;1.7;1288;0.6;0.7;0.15415068;0.005635924
Mackinetal_2021;124;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;visitation;1288;0.3;1;1288;0.2;0.7;0.405465108;0.018137509
Mackinetal_2021;125;Robbers;Experimental;Experimental;Digitalis_purpurea;Digitalis_purpurea;Digitalis;Plantaginaceae;yes;NA;visitation;1288;0.6;1.6;1288;0.2;0.9;1.098612289;0.021243099
Mallof_2001;126;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;nectar;28;1.1;0.76;28;4.7;1.82;-1.452252329;0.022403771
Mallof_2001;255;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;nectar;28;1.1;0.07181325;28;4.7;13.34847625;-1.452252329;0.288229917
Mallof_2001;256;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;8;3.7;0.182079996;8;3.34;2.07950098;0.102362013;0.048757349
Mallof_2001;257;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;female;32;62.7;1.259533954;69;54.15;4.356977575;0.146603474;0.000106437
Mallof_2001;258;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;yes;insect-insect;visitation;40;32;0.442718872;35;21;3.093592168;0.421213465;0.000624825
Mayeretal_2014;127;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;20;0.16;0.21;20;0.46;0.58;-1.056052674;0.165622416
Mayeretal_2014;128;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;20;2.5;1.4;20;3;2.3;-0.182321557;0.045068889
Mayeretal_2014;129;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;20;10.6;5;20;12.5;7;-0.164874643;0.026804956
Mayeretal_2014;130;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;20;2.2;1.2;20;2.4;1.9;-0.087011377;0.046212839
Mayeretal_2014;131;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;female;30;78.1;10.4;30;81.1;7.2;-0.037692904;0.000853801
Mayeretal_2014;132;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;5;19.6;29.2;5;16.8;18.6;0.15415068;0.689051437
Mayeretal_2014;133;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;20;0.34;0.53;20;0.19;0.23;0.581921545;0.194765238
Mayeretal_2014;134;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;yes;insect-insect;visitation;5;32.8;36.5;5;6.9;9.6;1.558907104;0.634812497
McDonald&Caruso2019;135;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;female;28;2.78;0.22;31;3.2;0.175;-0.140699882;0.00032014
McDonald&Caruso2019;136;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;female;75;105.11;21.53;75;96.11;20.36;0.089514052;0.001157773
Milet-Pinheiro&Schlindwein_2009;137;Robbers;Non-Experimental;Obligatory;Jacaranda_rugosa;Jacaranda_rugosa;Jacaranda;Bignoniaceae;no;insect-insect;visitation;62;4.5;2.1;62;10.9;6.6;-0.884685392;0.009426026
Missagia&Alves2017;138;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;visitation;20;0.16;0.58;20;0.93;1.05;-1.760010771;0.720766942
Missagia&Alves2017;139;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;visitation;20;0.3;0.59;20;1.08;1.35;-1.280933845;0.271513889
Missagia&Alves2017;140;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;visitation;20;0.25;0.47;20;0.85;0.91;-1.223775432;0.234027958
Missagia&Alves2017;141;Thieves;Non-Experimental;Obligatory;Heliconia_spathocircinata;Heliconia_spathocircinata;Heliconia;Heliconiaceae;no;insect-bird;nectar;20;24.18;7.34;20;44.24;10.54;-0.604103512;0.007445388
Morris_1996;142;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;yes;insect-insect;nectar;12;0.74;3.88;12;3.98;2.633;-1.682386912;2.327438201
Morris_1996;143;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;yes;insect-insect;female;50;5.39;1.98;50;5.41;2.121;-0.003703708;0.005772967
Morris_1996;144;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;yes;insect-insect;female;50;3.42;4.738;50;3.17;3.041;0.075908963;0.056790921
Morris_1996;145;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;yes;insect-insect;female;50;5.07;3.677;50;4.47;3.536;0.125952409;0.023034899
Pelayoetal2011;146;Robbers;Non-Experimental;NA;Passiflora_mixta;Passiflora_mixta;Passiflora;Passifloraceae;no;bird-bird;female;31;151;38.97435054;31;81;89.08422981;0.622830682;0.041167471
Pollato&Alves-Junior_2022;147;Robbers;Non-Experimental;Obligatory;Pyrostegia_venusta;Pyrostegia_venusta;Pyrostegia;Bignoniaceae;no;insect-bird;nectar;50;4.28;0.43;50;23.73;13.84;-1.712787061;0.007004971
Pollato&Alves-Junior_2022;148;Robbers;Non-Experimental;Obligatory;Pyrostegia_venusta;Pyrostegia_venusta;Pyrostegia;Bignoniaceae;no;insect-bird;nectar;50;6.12;1.82;50;24.62;3.65;-1.391997024;0.002208346
Quinalhaetal2017;149;Thieves;Non-Experimental;Obligatory;Jacaranda_caroba;Jacaranda_caroba;Jacaranda;Bignoniaceae;yes;insect-insect;female;30;4.04;20.97777395;30;13.93;86.32107506;-1.237800096;2.178742204
Richardson_2004;150;Robbers;Non-Experimental;Obligatory;Chilopsis_linearis;Chilopsis_linearis;Chilopsis;Bignoniaceae;no;insect-insect;female;4;0.5;1.2;42;1.7;2.13864443;-1.223775432;1.477681661
Richardson_2004;151;Robbers;Non-Experimental;Obligatory;Chilopsis_linearis;Chilopsis_linearis;Chilopsis;Bignoniaceae;no;insect-insect;nectar;6;0.7;1.469693846;61;1.9;3.12409987;-0.99852883;0.779015208
Richardson_2004;152;Robbers;Non-Experimental;Obligatory;Chilopsis_linearis;Chilopsis_linearis;Chilopsis;Bignoniaceae;no;insect-insect;nectar;41;59.9;79.71889676;23;32;24.89036561;0.626940602;0.069504916
Richmanetal_2018;153;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;male;10;0.04;0.18973666;10;0.23;0.18973666;-1.749199855;2.31805294
Richmanetal_2018;154;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;22;29.53567335;40;68.22;50.59644256;-1.131695324;0.058811416
Richmanetal_2018;155;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;0.22;0.126491106;40;0.54;0.18973666;-0.897941593;0.011350883
Richmanetal_2018;156;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;1.41;1.075174404;40;2.25;1.075174404;-0.467340512;0.020245134
Richmanetal_2018;157;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;43.33;42.18478399;40;68.22;50.59644256;-0.453892541;0.037447664
Richmanetal_2018;158;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;0.35;0.18973666;40;0.54;0.18973666;-0.433635985;0.010433359
Richmanetal_2018;160;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;visitation;30;0.05;0.038340579;30;0.076;0.109544512;-0.418710335;0.088852078
Richmanetal_2018;159;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;visitation;30;0.05;0.054772256;30;0.076;0.109544512;-0.418710335;0.109252079
Richmanetal_2018;161;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;139;28.98;19.68900962;156;39.89;23.85589235;-0.319519729;0.005613405
Richmanetal_2018;162;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;visitation;20;6.65;2.638560213;20;8.9;2.683281573;-0.291434422;0.012416439
Richmanetal_2018;163;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;140;36.73;25.08417828;156;39.89;23.85589235;-0.082531806;0.005624078
Richmanetal_2018;164;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;visitation;20;0.5;0.178885438;20;0.53;0.134164079;-0.058268908;0.009603987
Richmanetal_2018;165;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;no;insect-bird;female;40;2.14;1.39140217;40;2.25;1.075174404;-0.050124387;0.016277251
Rojas-Nossaetal2016;166;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;yes;insect-insect;female;50;1.06;0.05;50;7.89;0.03;-2.007327227;4.48E-05
Rojas-Nossaetal2016;167;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;yes;insect-insect;male;50;2032.197;385.97;50;2024.621;385.976;0.003734951;0.001448329
Rojas-Nossaetal2016;168;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;yes;insect-insect;female;50;1.21;0.06;50;1.187;0.065;0.019191244;0.00010915
Saezetal_2017;169;Robbers;Non-Experimental;Facultative;Rubus_idaeus;Rubus_idaeus;Rubus;Rosaceae;no;insect-insect;nectar;15;0.88;0.349;20;3.97;10.129;-1.506599466;0.335963994
Santosetal2020;170;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;yes;insect-bird;female;300;50.9;21.4;300;59.4;7.8;-0.154431303;0.000646688
Santosetal2020;171;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;yes;insect-bird;female;300;13.3;18.4;300;15;16.8;-0.120286166;0.010561193
Santosetal2020;172;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;yes;insect-bird;female;300;43.2;18.3;300;43.4;18.3;-0.004618946;0.001190809
Santosetal2020;173;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;yes;insect-bird;female;300;2.2;7.1;300;1.6;6.2;0.318453731;0.084769714
Singhetal_2014;174;Robbers;Non-Experimental;NA;Tecomella_undulata;Tecomella_undulata;Tecomella;Bignoniaceae;no;bird-bird;visitation;40;4.17;1.834121043;40;18.72;4.74341649;-1.501676435;0.006441551
Singhetal_2014;175;Robbers;Non-Experimental;NA;Tecomella_undulata;Tecomella_undulata;Tecomella;Bignoniaceae;no;bird-bird;nectar;15;0.2;0.038729833;15;0.51;0.774596669;-0.936093359;0.156287005
Singhetal_2014;176;Robbers;Non-Experimental;NA;Tecomella_undulata;Tecomella_undulata;Tecomella;Bignoniaceae;no;bird-bird;visitation;40;2.05;1.011928851;40;4.95;1.454647724;-0.881547783;0.008250576
Singhetal_2014;177;Robbers;Non-Experimental;NA;Tecomella_undulata;Tecomella_undulata;Tecomella;Bignoniaceae;no;bird-bird;visitation;40;6.72;0.316227766;40;2.2;1.075174404;1.116630794;0.006026435
Souzaetal_2019;178;Robbers;Non-Experimental;Obligatory;Jacaranda_rugosa;Jacaranda_rugosa;Jacaranda;Bignoniaceae;no;insect-insect;nectar;2;29.9;11.39;3;58.24;22.48;0.666713923;0.295380506
Takedaetal_2021;179;Thieves;Non-Experimental;Obligatory;Codonopsis_lanceolata;Codonopsis_lanceolata;Codonopsis;Campanulaceae;no;NA;visitation;147;7.04;4.3;28;9.92;8.68;-0.342944751;0.029881649
Takedaetal_2021;180;Thieves;Non-Experimental;Obligatory;Codonopsis_lanceolata;Codonopsis_lanceolata;Codonopsis;Campanulaceae;no;NA;visitation;22;6.82;7.46;24;3.73;3.76;0.603451238;0.096725491
Tameles&Pan_2022;181;Robbers;Non-Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;nectar;30;0.3;0.328633535;89;1.51;0.943398113;-1.616082455;0.044385773
Tameles&Pan_2022;182;Robbers;Non-Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;nectar;50;0.26;0.353553391;78;1.13;0.618223261;-1.469291281;0.040819667
Tameles&Pan_2022;183;Robbers;Non-Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;nectar;54;0.6;0.514392846;40;0.89;0.695701085;-0.394291808;0.02888696
Tameles&Pan_2022;184;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;female;44;135;119.3984925;35;139;136.069835;-0.029199155;0.045157313
Tameles&Pan_2022;185;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;yes;insect-insect;male;37;58784;257.4225103;23;5900;63.30497611;2.298917358;5.52E-06
Travesetetal1998;186;Robbers;Non-Experimental;Facultative;Fuchsia_magellanica;Fuchsia_magellanica;Fuchsia;Onagraceae;yes;bird-bird;female;20;80;19.677;20;100;0;-0.223143551;0.003024878
Utelli&Roy2001;187;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;yes;insect-insect;female;23;2.5;0.959;23;2.6;0.959;-0.039220713;0.012312889
Utelli&Roy2001;188;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;yes;insect-insect;female;14;3.2;0.748;17;3.1;0.825;0.031748698;0.008068947
Utelli&Roy2001;189;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;yes;insect-insect;female;24;16.08;6.761;24;14.08;7.25;0.132820913;0.0184135
Valdivia&Gonzalez-Gomes_2006;190;Thieves;Non-Experimental;Facultative;Lapageria_rosea;Lapageria_rosea;Lapageria;Philesiaceae;yes;bird-bird;female;21;25.92;20.576;21;35.1;19.155;-0.303186259;0.044189475
Valdivia&Gonzalez-Gomes_2006;191;Thieves;Non-Experimental;Facultative;Lapageria_rosea;Lapageria_rosea;Lapageria;Philesiaceae;yes;bird-bird;male;21;0.54;1.283;21;0.62;1.604;-0.138150338;0.587528273
Varma&Sinu2019;192;Robbers;Non-Experimental;Obligatory;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;yes;insect-bird;female;30;2.3;8.764;30;3.5;13.693;-0.419853846;0.994179758
Varma&Sinu2019;193;Robbers;Non-Experimental;NA;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;yes;insect-insect;female;29;3.8;0.26;29;3.8;0.27;0;0.000335514
Varma&Sinu2019;194;Robbers;Non-Experimental;NA;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;yes;insect-insect;female;29;0.93;0.25;29;0.89;0.14;0.043963123;0.00334507
Varma&Sinu2019;195;Robbers;Non-Experimental;Obligatory;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;yes;insect-bird;female;30;14.5;19.17028951;30;9;1.00E-03;0.476924072;0.058263972
Varmaetal2020;196;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;yes;insect-insect;female;29;0.81;0.28;29;0.89;0.16;-0.094187215;0.005234936
Varmaetal2020;197;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;yes;insect-insect;female;30;0.49;0.097;30;0.51;0.097;-0.040005335;0.00251208
Varmaetal2020;198;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;yes;insect-insect;female;29;3.79;0.28;29;3.82;0.42;-0.007884404;0.000605053
Yeetal_2017;199;Robbers;Non-Experimental;Experimental;Salvia_przewalskii;Salvia_przewalskii;Salvia;Lamiaceae;no;insect-insect;nectar;30;0.94;0.29;30;1.17;0.37;-0.218879153;0.006506204
Yeetal_2017;200;Robbers;Non-Experimental;Experimental;Salvia_przewalskii;Salvia_przewalskii;Salvia;Lamiaceae;no;insect-insect;visitation;10;7.14;1.328;10;6.77;2.435;0.053211689;0.016396005
Yeetal_2017;201;Robbers;Non-Experimental;Experimental;Salvia_przewalskii;Salvia_przewalskii;Salvia;Lamiaceae;no;insect-insect;visitation;3;4.9;4.1;3;2.41;0.3;0.709608458;0.238540183
Zhangetal_2009b;202;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;1.62;0.626;5;2.26;0.917;-0.332938664;0.062791017
Zhangetal_2009b;203;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;32.2;9.168;5;44.6;14.758;-0.325767406;0.038111699
Zhangetal_2009b;204;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;69.3;16.1;5;89.2;19.454;-0.252436133;0.02030783
Zhangetal_2009b;205;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;72.7;12.298;5;79.6;9.391;-0.090672708;0.008506817
Zhangetal_2009b;206;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;82.3;8.497;5;78.2;7.155;0.05110146;0.003806184
Zhangetal_2009b;207;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;nectar;19;73.19;47.948;19;61.97;76.629;0.166408403;0.103064937
Zhangetal_2009b;208;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;yes;insect-insect;visitation;5;0.95;0.492;5;0.67;0.693;0.349184272;0.267610022
