study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Elyiahuetak2015;74;Robbers;Non-Experimental;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;self_incompatible;NA;female;73;43.4;39.30241723;391;40.3;35.59269588;0.074107972;0.01322901
Brodyetal2008;18;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;138.5;15.4;20;128.5;17.9;0.074941421;0.001588395
Morris_1996;144;Robbers;Non-Experimental;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;insect-insect;female;50;3.42;4.738;50;3.17;3.041;0.075908963;0.056790921
McDonald&Caruso2019;136;Robbers;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;insect-insect;female;75;105.11;21.53;75;96.11;20.36;0.089514052;0.001157773
Fumero-Caban&Melendez-Ackerman_2013;83;Robbers;Non-Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;self_compatible;NA;female;15;257.42;117.3513954;15;234.62;64.67882188;0.092741808;0.020887135
Irwin&Brody1999;240;Robbers;Non-Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;3;72.99;2.759734287;3;66.28;2.055366958;0.096434253;0.000797074
Brodyetal2008;19;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;5.2;0.3;20;4.7;0.5;0.101096117;0.000732287
Irwin&Brody1999;246;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;51.42;0.975991803;15;46.43;1.172222959;0.1020814;6.65E-05
Mallof_2001;256;Robbers;Non-Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;8;3.7;0.182079996;8;3.34;2.07950098;0.102362013;0.048757349
Elyiahuetak2015;75;Robbers;Non-Experimental;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;self_incompatible;NA;female;514;0.107;0.249387249;514;0.096;0.090686272;0.108480643;0.01230472
Brodyetal2008;20;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;45.4;3.8;20;40.31;4.4;0.118912528;0.000946019
Zhangetal2007;227;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;male;40;4085;8949.246;40;3627;11314.629;0.118915868;0.363276218
Heillingetal_2018;103;Robbers;Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;5;28.16;1.01;5;24.83;0.96;0.125849932;0.000556245
Morris_1996;145;Robbers;Non-Experimental;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;insect-insect;female;50;5.07;3.677;50;4.47;3.536;0.125952409;0.023034899
Andaloetal2019;1;Robbers;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;insect-insect;female;30;0.25;0.34;25;0.22;0.32;0.127833372;0.146281433
Utelli&Roy2001;189;Robbers;Non-Experimental;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;insect-insect;female;24;16.08;6.761;24;14.08;7.25;0.132820913;0.0184135
Zhangetal2007;228;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;male;373;15.96;139.441;469;13.85;346.503;0.141800359;1.539218236
Mallof_2001;257;Robbers;Non-Experimental;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;insect-insect;female;32;62.7;1.259533954;69;54.15;4.356977575;0.146603474;0.000106437
Fumero-Caban&Melendez-Ackerman_2013;84;Robbers;Non-Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;self_compatible;NA;male;6;6.6;1.592168333;6;5.4;1.102270384;0.200670695;0.019137786
Zhangetal_2010a;218;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;37;17.79;38.017;262;13.85;91.939;0.250351269;0.291614131
Dedej&Delaplane_2005;65;Robbers;Non-Experimental;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;insect-insect;female;37;1.07;0.364965752;38;0.8;0.3082207;0.2908022;0.007050629
Santosetal2020;173;Robbers;Non-Experimental;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;insect-bird;female;300;2.2;7.1;300;1.6;6.2;0.318453731;0.084769714
Varma&Sinu2019;195;Robbers;Non-Experimental;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;self_compatible;insect-bird;female;30;14.5;19.17028951;30;9;1.00E-03;0.476924072;0.058263972
Gelvez-Zuningaetal2016;87;Robbers;Non-Experimental;Collaea_speciosa;Collaea_speciosa;Collaea;Fabaceae;self_incompatible;insect-bird;female;570;0.38;1.456;716;0.22;1.52521605;0.546543706;0.092884235
Pelayoetal2011;146;Robbers;Non-Experimental;Passiflora_mixta;Passiflora_mixta;Passiflora;Passifloraceae;self_incompatible;bird-bird;female;31;151;38.97435054;31;81;89.08422981;0.622830682;0.041167471
Irwin&Brody2000;106;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;32;121.3;15.4;32;62.8;7.9;0.658311742;0.000998219
Irwin&Brody2000;107;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;32;17.7;1.5;32;8.1;1.5;0.781700578;0.001296106
Burkleetal_2007;265;Robbers;Non-Experimental;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;insect-bird;female;18;111.44;3.174909448;18;41.79;3.290403555;0.980829253;0.000389507
Tameles&Pan_2022;185;Robbers;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;insect-insect;male;37;58784;257.4225103;23;5900;63.30497611;2.298917358;5.52E-06
