study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Irwinetal_2008;252;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;0.6;0.061967734;15;0.96;0.077459667;-0.470003629;0.001145139
Richmanetal_2018;156;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;1.41;1.075174404;40;2.25;1.075174404;-0.467340512;0.020245134
Richmanetal_2018;157;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;43.33;42.18478399;40;68.22;50.59644256;-0.453892541;0.037447664
Richmanetal_2018;158;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;40;0.35;0.18973666;40;0.54;0.18973666;-0.433635985;0.010433359
Brodyetal2008;14;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;48.9;3.49;20;74.6;3.49;-0.422363111;0.000364117
Ferreiraetal2020;76;Robbers;Non-Experimental;Cleistocactus_baumanii;Cleistocactus_baumanii;Cleistocactus;Cactaceae;self_compatible;insect-bird;female;15;542;236;15;825;215;-0.420117385;0.017167326
Varma&Sinu2019;192;Robbers;Non-Experimental;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;self_compatible;insect-bird;female;30;2.3;8.764;30;3.5;13.693;-0.419853846;0.994179758
Cuevas-Garciaetal2013;43;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;62.5;31.71764493;10;91.6;11.7636729;-0.382264715;0.027403112
Zhangetal_2010a;214;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;female;59;9.61;26.27;262;13.85;91.939;-0.36548101;0.29484415
Brodyetal2008;15;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;3.14;0.4;20;4.4;0.3;-0.337381741;0.00104383
Brodyetal2008;16;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;insect-bird;female;20;46.6;2.2;20;64.4;4.76;-0.323513092;0.000384598
Bergamo&Sazima2018;8;Robbers;Non-Experimental;Besleria_longimucronata;Besleria_longimucronata;Besleria;Gesneriaceae;self_compatible;insect-bird;female;30;261;40.92;30;360.3;53.6;-0.32241661;0.001557049
Richmanetal_2018;161;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;139;28.98;19.68900962;156;39.89;23.85589235;-0.319519729;0.005613405
Zhangetal_2014;221;Robbers;Non-Experimental;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;self_compatible;insect-insect;female;60;52.27;29.125;60;71.48;36.793;-0.312995098;0.009590393
Zhangetal2007;224;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;male;575;58.89;90.881;584;80.35;98.114;-0.310720795;0.006695014
Cuevas-Garciaetal2013;44;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.25;0.09486833;10;0.34;0.18973666;-0.3074847;0.045541869
Cuevas-Garciaetal2013;46;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.03;0.006324555;10;0.04;0.003162278;-0.287682072;0.005069444
Cuevas-Garciaetal2013;45;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.03;0.009486833;10;0.04;0.006324555;-0.287682072;0.0125
Cuevas-Garciaetal2013;47;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.03;0.009486833;10;0.04;0.006324555;-0.287682072;0.0125
Dedej&Delaplane_2005;62;Robbers;Non-Experimental;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;insect-insect;female;65;1.2;0.32249031;65;1.6;0.403112887;-0.287682072;0.002087674
Cuevas-Garciaetal2013;48;Robbers;Non-Experimental;Salvia_gesnerifolia;Salvia_gesnerifolia;Salvia;Lamiaceae;self_compatible;NA;female;10;0.33;0.09486833;10;0.43;0.18973666;-0.264692554;0.027734447
Burkleetal_2007;22;Robbers;Non-Experimental;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;insect-bird;female;30;52.7;4.6;30;67.8;4.5;-0.251946739;0.000400805
Zhangetal2007;225;Robbers;Non-Experimental;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;insect-insect;male;575;64.86;72.897;575;83.33;108.865;-0.250577528;0.005165123
Fumero-Caban&Melendez-Ackerman_2013;79;Robbers;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;self_compatible;NA;female;6;50;28.16913204;6;39.26;54.72160085;-0.241816817;0.285431781
